Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
300,St Pete AG4UU,442.250000,+,5.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,S,50W,Skyway Bridge,,,,
301,Lakeland N4KEG,442.275000,+,5.000000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
302,Lake Mary W4CC,444.075000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,FDOT Tower,,,,
305,Milton KD4FZB,444.725000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
306,Crestview KC4YBZ,444.900000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
307,Chipley WA4MN,444.750000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
308,Chattahoochee K4GFD,444.975000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
309,Tallahassee K4TLH,443.500000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,State EOC,,,,
310,Madison K4NRD,444.300000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
311,Live Oak KR4HO,443.700000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
312,Lake City NF4CQ,444.900000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
313,Jacksonville N4FCU,444.700000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
315,Islamorada WB4HIS,442.850000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
316,Florida City,442.050000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,UNKNOWN CALL SIGN,,,,
317,Miami K4AG,444.600000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
318,Ft Lauderdale W4AB,442.850000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,110 Tower,,,,
319,Lantana K4EEX,443.975000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,S,50W,aka Royal Palm Beach,,,,
320,Stuart KA3COZ,444.150000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
321,Sebastian WB4HIS,444.375000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
322,Cocoa W4NLX,444.650000,+,5.000000,Tone,107.2,94.8,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
323,St Augustine N4FCU,442.800000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,S,50W,At I-95/FL-16,,,,
324,Jacksonville N4FCU,444.700000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
325,Yulee N4FCU,442.900000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,S,50W,FDOT Tower,,,,
330,Miami K4AG,444.600000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
331,Andytown N0LO,442.825000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
332,Naples,444.950000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,UNKNOWN CALL SIGN,,,,
333,Ft Myers NX4Y,444.225000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
334,Sarasota NX4Y,444.800000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
335,St Pete AG4UU,442.250000,+,5.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,S,50W,Skyway Bridge,,,,
336,Tampa NX4Y,442.850000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
337,Brooksville,444.825000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,UNKNOWN CALL SIGN,,,,
338,Ocala NX4Y,444.025000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
339,Gainesville K4GNV,444.925000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
340,Lake City NF4CQ,444.900000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
343,Miami K4AG,444.600000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
344,Ft Lauderdale W4AB,442.850000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,110 Tower,,,,
345,Lantana K4EEX,443.975000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,S,50W,aka Royal Palm Beach,,,,
346,Stuart KA3COZ,444.150000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
347,Kenansville,444.975000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,UNKNOWN CALL SIGN,,,,
348,Lake Mary W4CC,444.075000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,FDOT Tower,,,,
349,Clermont N4FCU,444.975000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
